Destination,Category,Year,Month,Month_Name,Season,Domestic_Tourists,Foreign_Tourists,Hotel_Occupancy,Festival_Event,Tourist_Footfall
Goa,Beach,2019,1,January,Winter,15233,1693,60.6,0,16926
Goa,Beach,2019,2,February,Winter,18048,1983,73.4,1,20031
Goa,Beach,2019,3,March,Summer,20371,2213,69.8,0,22584
Goa,Beach,2019,4,April,Summer,21384,2297,72.6,0,23681
Goa,Beach,2019,5,May,Summer,22343,2373,75.4,0,24716
Goa,Beach,2019,6,June,Monsoon,23918,2511,79.1,0,26429
Goa,Beach,2019,7,July,Monsoon,20725,2150,72.9,0,22875
Goa,Beach,2019,8,August,Monsoon,21582,2213,75.4,0,23795
Goa,Beach,2019,9,September,Monsoon,23117,2342,78.8,0,25459
Goa,Beach,2019,10,October,Autumn,28314,3146,84.0,1,31460
Goa,Beach,2019,11,November,Autumn,33334,3663,91.6,1,36997
Goa,Beach,2019,12,December,Winter,36653,3982,96.0,1,40635
Goa,Beach,2020,1,January,Winter,14435,1551,62.6,0,15986
Goa,Beach,2020,2,February,Winter,19476,2068,75.4,1,21544
Goa,Beach,2020,3,March,Summer,21989,2308,71.8,0,24297
Goa,Beach,2020,4,April,Summer,23092,2396,74.6,0,25488
Goa,Beach,2020,5,May,Summer,24138,2475,77.4,0,26613
Goa,Beach,2020,6,June,Monsoon,25851,2619,81.1,0,28470
Goa,Beach,2020,7,July,Monsoon,19466,2163,74.9,0,21629
Goa,Beach,2020,8,August,Monsoon,23054,2533,67.4,0,25587
Goa,Beach,2020,9,September,Monsoon,24702,2684,70.8,0,27386
Goa,Beach,2020,10,October,Autumn,30570,3284,86.0,1,33854
Goa,Beach,2020,11,November,Autumn,36005,3823,93.6,1,39828
Goa,Beach,2020,12,December,Winter,39606,4157,96.0,1,43763
Goa,Beach,2021,1,January,Winter,15562,1615,64.6,0,17177
Goa,Beach,2021,2,February,Winter,18405,1887,77.4,1,20292
Goa,Beach,2021,3,March,Summer,23663,2398,73.8,0,26061
